"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1130","should add single item (Sauce Labs Backpack) to cart","chromium","Wed Aug 13 22:33:53 CST 2025","passed","Wed Aug 13 22:33:54 CST 2025","Inventory Tests","inventory.spec.js","",""
"","5656","should validate inventory title for slow user","chromium","Wed Aug 13 22:33:54 CST 2025","passed","Wed Aug 13 22:34:00 CST 2025","Login Tests","login.spec.js","",""
"","759","should validate cart count after adding an item","chromium","Wed Aug 13 22:33:55 CST 2025","passed","Wed Aug 13 22:33:55 CST 2025","Order Tests","order.spec.js","",""
"","1061","should cancel order from checkout step 1","chromium","Wed Aug 13 22:33:56 CST 2025","passed","Wed Aug 13 22:33:57 CST 2025","Order Tests","order.spec.js","",""
"","897","should remove item from cart","chromium","Wed Aug 13 22:33:55 CST 2025","passed","Wed Aug 13 22:33:56 CST 2025","Order Tests","order.spec.js","",""
"","1200","should complete checkout flow with multiple items","chromium","Wed Aug 13 22:33:56 CST 2025","passed","Wed Aug 13 22:33:57 CST 2025","Order Tests","order.spec.js","",""
"","477","should validate invalid login","chromium","Wed Aug 13 22:33:54 CST 2025","passed","Wed Aug 13 22:33:55 CST 2025","Login Tests","login.spec.js","",""
"","1297","should add multiple items (all items) to cart","chromium","Wed Aug 13 22:33:53 CST 2025","passed","Wed Aug 13 22:33:54 CST 2025","Inventory Tests","inventory.spec.js","",""
"","1176","should validate adding an item and removing it from cart","chromium","Wed Aug 13 22:33:53 CST 2025","passed","Wed Aug 13 22:33:54 CST 2025","Inventory Tests","inventory.spec.js","",""
"","941","should add multiple items and validate cart","chromium","Wed Aug 13 22:33:55 CST 2025","passed","Wed Aug 13 22:33:56 CST 2025","Order Tests","order.spec.js","",""
"","1376","should place an order successfully","chromium","Wed Aug 13 22:33:55 CST 2025","passed","Wed Aug 13 22:33:56 CST 2025","Order Tests","order.spec.js","",""
"","1454","should login with valid credentials","chromium","Wed Aug 13 22:33:53 CST 2025","passed","Wed Aug 13 22:33:54 CST 2025","Login Tests","login.spec.js","",""
